avg_non_offensive_per_bullying_session,avg_offensive_per_bullying_session,bidirectional_non_offensive_users,bidirectional_offensive_users,bullying_sessions_count,comment_count,comment_to_bullying_ratio,description_offensive,follower_count,following_count,like_count,max_comments_to_single_user,max_non_offensive_from_single_user,max_non_offensive_to_single_user,max_offensive_from_single_user,max_offensive_to_single_user,non_offensive_comment_count,non_offensive_comment_ratio,non_offensive_comments_in_bullying,non_offensive_concentration_in,non_offensive_concentration_out,non_offensive_in_bullying_ratio,offensive_comment_count,offensive_comment_ratio,offensive_comments_in_bullying,offensive_concentration_in,offensive_concentration_out,offensive_in_bullying_ratio,post_count,received_comment_count,received_non_offensive_count,received_non_offensive_ratio,received_offensive_count,received_offensive_ratio,total_comments_in_bullying,unique_commenters_count,unique_targets_count,unique_users_in_bullying_sessions,unretaliated_ratio,label,media_id
0.42857142857142855,0.0,0.42857142857142855,0.0,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.0,287525.4285714286,338.2857142857143,12097.285714285714,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,655.4285714285714,1.0,1.0,0.7142857142857143,0.0,0.0,0.42857142857142855,1.0,0.8571428571428571,4.428571428571429,0.0,0,1001397703332573184
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11955.0,653.0,54477.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1001681548694978560
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,560534.0,42.0,624.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1003042166966312960
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68720.0,282.0,3598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0,1004042856425508864
1.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,8359.666666666666,870.0,10164.666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3796.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,5.0,0.0,1,1004191380798881792
2.111111111111111,0.2222222222222222,0.6666666666666666,0.16666666666666666,1.8333333333333333,2.5,1.5069444444444444,0.16666666666666666,43436.166666666664,200.66666666666666,19216.0,0.0,0.3333333333333333,0.0,0.5,0.0,1.6666666666666667,0.6944444444444443,2.8333333333333335,0.08333333333333333,0.0,1.5833333333333333,0.8333333333333334,0.13888888888888887,0.5,0.125,0.0,0.375,1023.6666666666666,2.8333333333333335,1.6666666666666667,0.5,1.1666666666666667,0.16666666666666666,4.166666666666667,2.1666666666666665,2.3333333333333335,19.166666666666668,0.4166666666666667,1,1005624904525201408
1.3333333333333333,0.29166666666666663,0.25,0.125,1.75,2.0,1.0677083333333333,0.125,49368.625,380.125,16428.75,0.0,0.375,0.0,0.5,0.0,1.25,0.4583333333333333,1.875,0.1875,0.0,1.125,0.75,0.16666666666666666,0.5,0.21875,0.0,0.40625,1730.625,2.75,1.5,0.4583333333333333,1.25,0.29166666666666663,3.5,2.0,2.0,18.875,0.5625,1,1006225114423021568
0.6,0.0,0.0,0.0,1.8,0.4,0.6,0.0,184310.0,268.8,5466.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2217.8,1.0,0.8,0.5,0.2,0.1,3.2,1.0,0.6,15.2,0.2,1,1006384270601768960
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,31973.0,898.5,31443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13314.0,1.0,0.5,0.25,0.5,0.25,1.0,1.5,0.5,2.5,1.0,0,1006719408925827072
0.75,0.25,0.25,0.0,1.0,0.75,0.6666666666666666,0.5,235982.25,491.0,13603.25,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,1.5,0.0,0.0,0.75,0.25,0.08333333333333333,0.5,0.0,0.0,0.5,6215.25,3.5,2.5,0.75,1.0,0.25,2.75,2.75,1.0,7.25,0.5,0,1009254563917803520
